country,population,median_age,urban_percentage_share,world_share
Hungary,9665192,43,72 %,0.12 %
Tajikistan,9492342,22,27 %,0.12 %
Belarus,9449940,40,79 %,0.12 %
Austria,8996022,43,57 %,0.12 %
Papua New Guinea,8911530,22,13 %,0.11 %
Serbia,8744288,42,56 %,0.11 %
Israel,8627444,30,93 %,0.11 %
Switzerland,8641786,43,74 %,0.11 %
Togo,8237580,19,43 %,0.11 %
Sierra Leone,7942879,19,43 %,0.10 %
Laos,7253719,24,36 %,0.09 %
Paraguay,7114524,26,62 %,0.09 %
Bulgaria,6958627,45,76 %,0.09 %
Libya,6852010,29,78 %,0.09 %
Lebanon,6831445,30,78 %,0.09 %
Nicaragua,6608366,26,57 %,0.08 %
Kyrgyzstan,6501804,26,36 %,0.08 %
El Salvador,6479609,28,73 %,0.08 %
Singapore,5840996,42,N.A.,0.08 %
Denmark,5788108,42,88 %,0.07 %
Finland,5539002,43,86 %,0.07 %
Congo (Brazzaville),5489191,19,70 %,0.07 %
Slovakia,5459116,41,54 %,0.07 %
Norway,5412632,40,83 %,0.07 %
Oman,5078933,31,87 %,0.07 %
West Bank and Gaza,5076280,21,80 %,0.07 %
Costa Rica,5084636,33,80 %,0.07 %
Liberia,5032469,19,53 %,0.06 %
Ireland,4926480,38,63 %,0.06 %
Central African Republic,4812256,18,43 %,0.06 %
New Zealand,4814272,38,87 %,0.06 %
Mauritania,4623535,20,57 %,0.06 %
Panama,4300667,30,68 %,0.06 %
Kuwait,4257495,37,N.A.,0.05 %
Croatia,4110214,44,58 %,0.05 %
Moldova,4035814,38,43 %,0.05 %
Georgia,3990681,38,58 %,0.05 %
Eritrea,3536285,19,63 %,0.05 %
Uruguay,3471314,36,96 %,0.04 %
Bosnia and Herzegovina,3284806,43,52 %,0.04 %
Mongolia,3267320,28,67 %,0.04 %
Armenia,2962137,35,63 %,0.04 %
Jamaica,2958567,31,55 %,0.04 %
Qatar,2870922,32,96 %,0.04 %
Albania,2878420,36,63 %,0.04 %
Lithuania,2729553,45,71 %,0.03 %
Namibia,2531290,22,55 %,0.03 %
Gambia,2402083,18,59 %,0.03 %
Botswana,2341649,24,73 %,0.03 %
Gabon,2214593,23,87 %,0.03 %
Lesotho,2138799,24,31 %,0.03 %
North Macedonia,2083391,39,59 %,0.03 %
Slovenia,2078881,45,55 %,0.03 %
Guinea-Bissau,1958132,19,45 %,0.03 %
Latvia,1890218,44,69 %,0.02 %
Bahrain,1688629,32,89 %,0.02 %
Equatorial Guinea,1392950,22,73 %,0.02 %
Trinidad and Tobago,1398579,36,52 %,0.02 %
Estonia,1326357,42,68 %,0.02 %
Timor-Leste,1313184,21,33 %,0.02 %
Mauritius,1271347,37,41 %,0.02 %
Cyprus,1205577,37,67 %,0.02 %
Eswatini,1157707,21,30 %,0.01 %
Djibouti,985027,27,79 %,0.01 %
Fiji,895128,28,59 %,0.01 %
Comoros,865696,20,29 %,0.01 %
Guyana,785788,27,27 %,0.01 %
Bhutan,769867,28,46 %,0.01 %
Montenegro,628050,39,68 %,0.01 %
Luxembourg,623861,40,88 %,0.01 %
Western Sahara,594215,28,87 %,0.01 %
Suriname,585561,29,65 %,0.01 %
Cabo Verde,554750,28,68 %,0.01 %
Maldives,538558,30,35 %,0.01 %
Malta,441308,43,93 %,0.01 %
Brunei,436624,32,80 %,0.01 %
Belize,396120,25,46 %,0.01 %
Bahamas,392477,32,86 %,0.01 %
Iceland,340795,37,94 %,0.00 %
Barbados,287305,40,31 %,0.00 %
Sao Tome and Principe,218308,19,74 %,0.00 %
Saint Lucia,183458,34,19 %,0.00 %
Grenada,112418,32,35 %,0.00 %
Saint Vincent and the Grenadines,110869,33,53 %,0.00 %
Seychelles,98224,34,56 %,0.00 %
Antigua and Barbuda,97764,34,26 %,0.00 %
Andorra,77240,N.A.,88 %,0.00 %
Dominica,71950,N.A.,74 %,0.00 %
Saint Kitts and Nevis,53123,N.A.,33 %,0.00 %
Monaco,39186,N.A.,N.A.,0.00 %
Liechtenstein,38106,N.A.,15 %,0.00 %
San Marino,33917,N.A.,97 %,0.00 %
Holy See,801,N.A.,N.A.,0.00 %
